subject_id,incident_number,Agency,Date,City,Inside City Limits,Call Out Time,Arrival Time,Type of Premises,Photos,Video,K-9 Unit Utilized,Date Terminated,Time Terminated,Officer Injured,Connect #,Agency Assist,Agency Assist Agency,URL
48915821,14-07MARCH07,Boston Police - SIU,3/7/2014,Roxbury,YES,3:30 AM,4:30 AM,Apartment,YES,YES,YES,3/7/2014,5:10 AM,NO,14-0139598,NO,"",https://wokewindows-data.s3.amazonaws.com/swats/14-07MARCH07.pdf
48915871,13-06JAN17,Boston Police,1/17/2020,Roxbury,YES,3:30 AM,"",Apartment,NO,NO,NO,1/17/2013,6:45 AM,NO,13-130034140,YES,FBI,https://wokewindows-data.s3.amazonaws.com/swats/13-06JAN17.pdf
48915877,13-02JAN11,Boston Police,1/11/2013,Charlestown,YES,6:35 PM,6:50 PM,Apartment,NO,NO,NO,1/11/2013,9:09 PM,NO,13-0022886,NO,"",https://wokewindows-data.s3.amazonaws.com/swats/13-02JAN11.pdf
48915874,14-19JUNE13,Boston Police - SW,6/13/2014,DORCHESTER,YES,3:30 AM,4:15 AM,Single Family Residence,YES,NO,YES,6/13/2014,4:45 AM,NO,"",NO,"",https://wokewindows-data.s3.amazonaws.com/swats/14-19JUNE13.pdf
48915860,14-11APR22,Boston Police - YV,4/22/2014,Roxbury,YES,11:00 PM,11:05 PM,Apartment Complex,NO,NO,NO,4/23/2014,12:30 AM,NO,14-0245776,NO,"",https://wokewindows-data.s3.amazonaws.com/swats/14-11APR22.pdf
48915872,14-27NOV14,Boston Police - SW,11/14/2014,Brookline,NO,1:00 AM,1:45 AM,Apartment Complex,NO,NO,NO,11/14/2014,2:30 AM,NO,"",YES,Brookline PD,https://wokewindows-data.s3.amazonaws.com/swats/14-27NOV14.pdf
48915827,14-04JAN29,BPD B2 DCU,1/29/2014,Roxbury,YES,3:30 AM,"",Multiple family,NO,NO,NO,1/29/2014,4:55 AM,NO,"",NO,"",https://wokewindows-data.s3.amazonaws.com/swats/14-04JAN29.pdf
48915826,13-18JUN16,Boston Police SAU,6/17/2013,Roxbury,NO,9:15 PM,"",Apartment,NO,NO,NO,6/16/2013,"",NO,13-0363471,NO,"",https://wokewindows-data.s3.amazonaws.com/swats/13-18JUN16.pdf
48915878,13-19JUNE18,Boston Police - B2,6/18/2013,Roxbury,YES,9:00 PM,9:10 PM,Apartment,NO,NO,YES,6/18/2013,11:50 PM,NO,"",NO,"",https://wokewindows-data.s3.amazonaws.com/swats/13-19JUNE18.pdf
48915834,13-33NOV04,Boston Police - SW,11/4/2013,DORCHESTER,YES,11:45 AM,11:55 AM,Apartment,NO,NO,NO,11/4/2013,4:00 PM,NO,"",NO,"",https://wokewindows-data.s3.amazonaws.com/swats/13-33NOV04.pdf
48915852,14-09MAR14,Quincy Police Dept,3/14/2014,Quincy,NO,3:30 AM,4:40 AM,Apartment Complex,NO,NO,NO,3/14/2014,5:00 AM,NO,"",YES,Quincy Police Dept.,https://wokewindows-data.s3.amazonaws.com/swats/14-09MAR14.pdf
48915843,14-01JAN04,Boston Police - YV,1/4/2014,DORCHESTER,YES,3:45 PM,4:10 PM,Triple Decker,YES,NO,NO,1/4/2014,5:45 PM,NO,"",NO,"",https://wokewindows-data.s3.amazonaws.com/swats/14-01JAN04.pdf
48915848,13-14MAY17,Boston Police,5/17/13,Roxbury,YES,3:30 AM,4:55 AM,Row House,YES,NO,NO,5/17/2013,5:10 AM,NO,13-0259348,NO,"",https://wokewindows-data.s3.amazonaws.com/swats/13-14MAY17.pdf
48915862,14-22AUG28,Boston Police - SW,8/28/2014,Hyde Park,YES,3:30 AM,4:30 AM,Apartment Complex,NO,NO,NO,8/28/2014,5:00 AM,NO,"",NO,"",https://wokewindows-data.s3.amazonaws.com/swats/14-22AUG28.pdf
48915861,13-09062013,Boston Police - SW,9/6/2013,"Everett, MA",NO,11:30 AM,12:30 PM,"",NO,NO,NO,9/6/2013,3:00 PM,NO,"",NO,"",https://wokewindows-data.s3.amazonaws.com/swats/13-09062013.pdf
